# source_id xg yg zg vx vy vz
5327828010675361280 -7.64207777 -366.81856265 -26.79795448 -16.10705045 -11.20971133 -15.22961731
3208090362497477760 -278.11011240 -141.53855654 -154.74856614 -15.20237987 -7.17925133 -11.92936076
5589353998161694464 -96.69030863 -245.73825244 -54.43221938 -17.83977179 -6.81081659 -12.36860691
5566207830988463360 -99.94789354 -251.38005779 -64.56021507 -18.72994895 -9.02881871 -11.75874727
3217645878754046464 -369.67563119 -169.14653527 -130.21200881 -23.75431957 -10.22736249 -11.66692398
3213616885895558656 -300.13560381 -138.19078540 -144.26087425 -15.18291647 -10.47073803 -10.51613616
3009292582819491968 -209.44533636 -153.08557161 -98.67093541 -14.37896433 -7.39901485 -11.71128752
5586757364017080960 -111.55702758 -347.89290149 -46.21849350 -17.89204109 -5.18796650 -11.90716727
5108088275391026560 -97.46076947 -52.25731281 -120.49629733 -18.37693448 -9.15199872 -15.14133838
2926078656616483072 -239.91122898 -312.32635957 -69.83191427 -17.42880463 -12.11466178 -13.03007702
5503949260672858240 -25.94141321 -187.61251811 -63.92642179 -15.31035642 -7.11165524 -11.42185414
